path,name,date,duration,rank,eliminations,expected_name,expected_date,expected_duration,expected_rank,expected_eliminations,is_valid,path
Echo___SgtHaMeR___9.png,Rediffusion non sauvegardée,01/06/2018 20:36,26:24,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:36,26:24,0/0,0,,Echo___SgtHaMeR___9.png
Echo___SgtHaMeR___9.png,Rediffusion non sauvegardée,01/06/2018 20:07,08:32,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:07,23:32,0/0,0,,Echo___SgtHaMeR___9.png
Futaie___Romms27___0.png,Rediffusion non sauvegardée,01/06/201 8 20107,24122,0/0,2,Rediffusion non sauvegardée,01/06/2018 20:07,23:22,0/0,2,,Futaie___Romms27___0.png
Futaie___Romms27___0.png,Rediffusion non sauvegardée,01/06/2018 19:32,02:29,0/0,0,Rediffusion non sauvegardée,01/06/2018 19:32,02:29,0/0,0,,Futaie___Romms27___0.png
Futaie___Romms27___0.png,Rediffusion non sauvegardée,01/06/2018 18:54,03:39,34/92,0,Rediffusion non sauvegardée,01/06/2018 18:54,03:39,34/92,0,,Futaie___Romms27___0.png
Futaie___Romms27___0.png,Rediffusion non sauvegardée,01/06/2018 18:35,16:37,4/97,5,Rediffusion non sauvegardée,01/06/2018 18:35,16:37,4/97,5,,Futaie___Romms27___0.png
Futaie___Romms27___0.png,Rediffusion non sauvegardée,01/06/2018 18:33,01:30,29/95,0,Rediffusion non sauvegardée,01/06/2018 18:33,01:30,29/95,0,,Futaie___Romms27___0.png
InVavion___InVazion_FullZ___0.png,Rediffusion mm sauvegardée,01/06/2018 20:07,73:24,0/0,0,Rediffusion mm sauvegardée,01/06/2018 20:07,23:24,0/0,0,,InVavion___InVazion_FullZ___0.png
InVavion___InVazion_FullZ___1.png,Rediffusion mm sauvegardée,01/06/2018 21114,18:19,0/0,2,Rediffusion mm sauvegardée,01/06/2018 21:14,18:19,0/0,2,,InVavion___InVazion_FullZ___1.png
InVavion___InVazion_FullZ___1.png,Rediffusion non sauvegardée,01/06/2018 20:07,23:24,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:07,23:24,0/0,0,,InVavion___InVazion_FullZ___1.png
InVavion___InVazion_FullZ___2.png,Rediffusion mm sauvegardée,01/06/201 8 21143,13:53,0/0,1,Rediffusion mm sauvegardée,01/06/2018 21:43,13:53,0/0,1,,InVavion___InVazion_FullZ___2.png
InVavion___InVazion_FullZ___2.png,Rediffusion non sauvegardée,01/06/2018 21:14,18:19,0/0,2,Rediffusion non sauvegardée,01/06/2018 21:14,18:19,0/0,2,,InVavion___InVazion_FullZ___2.png
InVavion___InVazion_FullZ___2.png,Rediffusion non sauvegardée,01/06/2018 20:07,23:24,0/0,0,Rediffusion non sauvegardée,01/06/2018 20:07,23:24,0/0,0,,InVavion___InVazion_FullZ___2.png
InVavion___InVazion_Neliums___0.png,Rediffusinn non sauvegardée,01/06/2018 19:07,73127,0/0,0,Rediffusinn non sauvegardée,01/06/2018 19:07,23:27,0/0,0,,InVavion___InVazion_Neliums___0.png
Kappa_Army___BliTztangBliTz___4.png,Rediffusion non sauvegardée,01 /06/ 201 8 21 143,24115,0/0,2,Rediffusion non sauvegardée,01/06/2018 21:43,24:15,0/0,2,,Kappa_Army___BliTztangBliTz___4.png
Kappa_Army___BliTztangBliTz___4.png,Rediffusion non sauvegardée,01/06/2018 21 :14,18:51,0/0,3,Rediffusion non sauvegardée,01/06/2018 21:14,18:51,0/0,3,,Kappa_Army___BliTztangBliTz___4.png
Kappa_Army___BliTztangBliTz___4.png,Rediffusion non sauvegardée,01/06/2018 20:37,26:03,O/O,0,Rediffusion non sauvegardée,01/06/2018 20:37,26:03,0/0,0,,Kappa_Army___BliTztangBliTz___4.png
Kappa_Army___BliTztangBliTz___4.png,Rediffusion non sauvegardée,01/06/2018 20:07,08:17,O/O,4,Rediffusion non sauvegardée,01/06/2018 20:07,23:17,0/0,4,,Kappa_Army___BliTztangBliTz___4.png
